"Общество с ограниченной ответственностью ""СК-ГРАНД"""=107078, Г.Москва, вн.тер. г. Муниципальный Округ Красносельский, ул Новая Басманная, дом 13/2, строение 1, комната 26(ПО ПЛАНУ БТИ 16)=12516249.0=55.769798=37.657727
"Общество с ограниченной ответственностью ""СТРОЙМИР"""=123557, Город Москва, вн.тер.г. муниципальный округ Пресненский, ул Пресненский Вал, д. 21, стр. 12, помещ. 196Н=11931988.0=55.771125=37.565686
"Общество с ограниченной ответственностью ""ФАРМЛОГИСТИКА"""=121471, Москва г, Можайское ш., д. № 29, этаж 1 пом. VI ком. 39 оф. 57=9683656.0=55.71878=37.422719
"Общество с ограниченной ответственностью ""ОБЪЕДИНЕННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ"""=109428, город Москва, вн.тер. г. Муниципальный Округ Рязанский, пр-кт Рязанский, дом 22, корпус 2, этаж/помещ./ком. 9/XV/21=7960613.0=55.721305=37.770978
"ООО ПСП ""Качество и Надежность"" (КИН)"=111024, Город Москва, вн.тер.г. муниципальный округ Перово, ул 2-я Энтузиастов, д. 5, к. 40, этаж 3, ком./офис 6/2=6079785.0=55.749628=37.732575
"Общество с ограниченной ответственностью ""МЕЖРАЙОННАЯ ОБЩЕСТРОИТЕЛЬНАЯ КОМПАНИЯ"""=142635, Московская обл, Орехово-Зуево г, Губино д, Железнодорожная ул, дом 1, помещение 3=5742316.0=55.690273=39.140307
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕНТ-СЕРВИС"""=400138, Волгоградская обл, г Волгоград, ул им Солнечникова, 11, 1=5443642.0=48.662879=44.413669
"Общество с ограниченной ответственностью ""ТехноСтрой"""=150023, Ярославская обл, Ярославль г, Гагарина ул, дом № 64Ж, помещение 3=5047402.0=57.572481=39.79737
"Общество с ограниченной ответственностью ""ОХВАТСИБМОНТАЖ"""=630004, Новосибирская область, г.о. Город Новосибирск, г Новосибирск, пр-кт Димитрова, дом 1/1, офис 307=4990472.0=55.031479=82.907889
"Общество с ограниченной ответственностью ""МОНОЛИТНОЕ ДОМОСТРОЕНИЕ"""=108814, Москва г, вн.тер. г. поселение Сосенское, км Калужское шоссе 24-й (п Сосенское), д. 1, стр. 1, этаж 6, помещ. XIII, ком. 24, офис 618/4=4924396.0=55.585026=37.473626
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНО-ПРОИЗВОДСТВЕННАЯ ФИРМА  ""РОСТСТРОЙКОНТРАКТ"""=346720, Ростовская обл, р-н Аксайский, г Аксай, ул Промышленная, 2в, 4=4795447.0=47.277233=39.856345
"Общество с ограниченной ответственностью ""ТрансЭнергоМонтажПроект"""=105066, Москва г, ул Спартаковская, д. 2А, стр. 1, этаж 4, офис 18=4680065.0=55.769833=37.672226
"Общество с ограниченной ответственностью ""MБ-строй"""=143441, Московская обл, Красногорск г, Гаврилково д, ЭЖК Эдем тер., 20 кв-л, дом 5, квартира 7=4649070.0=55.878218=37.360034
"Акционерное общество Строительная компания ""КОМПАКТ"""=192102, Санкт-Петербург г, Фучика ул, дом № 4, литера Б, помещение 4Н=4607399.0=59.877637=30.368375
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АНТРОМ"""=143403, Московская обл, г Красногорск, ул Речная, 25а=4603387.0=55.83615=37.328926
"Общество с ограниченной ответственностью ""ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ КАМА"""=423877, Республика Татарстан (Татарстан), м.р-н Тукаевский, с.п. Нижнесуыксинское, тер. Производственно-промышленный комплекс, ул Магистральная, д. 1=4523865.0=55.655193=52.273658
