"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ВИТ"""=141206, Московская обл, ул Чехова, 12, офис 901=108966.0=[21552.0, 34691.0, 39302.0, 33121.0, 77707.0]=[-207, -779, -145, -2]=[-20913.0, 19518.0, 3080.0, -8543.0, -20438.0]
"Общество с ограниченной ответственностью ""ЛАВИНА"""=140015, Московская обл, город Люберцы, Инициативная ул, дом № 10=594302.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-81, -89, -88, -95]=[454.0, 2339.0, 3984.0, 3836.0, 9534.0]
"Общество с Ограниченной Ответственностью Хозрасчетная Строительно-Технологическая Фирма ""ФОБОС"""=140093, Московская обл, Дзержинский г, Угрешская ул, дом № 30, помещение 700=1565001.0=[567300.0, 18430.0, 'nan', 'nan', 'nan']=[1752, 2758, 1867, 1962]=[582441.0, 31442.0, 20376.0, 29618.0, 28242.0]
"АО ""2МЕН ГРУПП"""=625002, Тюменская обл, г Тюмень, ул Комсомольская, 75/5=74252.0=[12759.0, 4477.0, 47272.0, 'nan', 'nan']=[-278, 41, -3615, -5059]=[-2777.0, 1562.0, -4706.0, 79.0, 56.0]
"Акционерное общество ""777"""=678144, Саха /Якутия/ респ, Ленский муниципальный район, городское поселение город Ленск, Мелиораторов ул, дом № 3=1002486.0=['nan', 'nan', 'nan', 18677.0, 'nan']=[489, 851, 470, 1335]=[19889.0, 3375.0, 2092.0, -5382.0, 1386.0]
"Акционерное общество ""Агротехимпорт"""=Владимир г, Александра Матросова ул, 1, 600005=1031417.0=['nan', 'nan', 'nan', 'nan', 'nan']=[32, 95, 112, 230]=[40101.0, 30374.0, 20565.0, 18957.0, 12154.0]
"Акционерное общество ""АКС"""=192102, Санкт-Петербург, ул.Фучика, дом № 4 лит.К=116186.0=['nan', 10541.0, 'nan', 'nan', 16398.0]=[27, -48, -95, -89]=[565.0, 444.0, 1077.0, 12293.0, 5273.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА"""=160001, Вологодская обл, г Вологда, ул Благовещенская, 100а, 15=1838703.0=[294992.0, 48622.0, 26268.0, 224448.0, 249579.0]=[1640, 1813, 6822, 1824]=[183854.0, 10568.0, 9611.0, 2656.0, -10662.0]
"Акционерное общество ""Акционерное строительное общество № 1"""=692413, Приморский край, Кавалеровский муниципальный район, Городское поселение Кавалеровское, Кавалерово пгт, Арсеньева ул, дом 98=191358.0=['nan', 62231.0, 12775.0, 22861.0, 'nan']=[-100, 124, -21, -99]=[139.0, 33698.0, 62.0, 176.0, 21188.0]
"Акционерное общество ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1"""=309857, Белгородская обл, р-н Алексеевский, г Алексеевка, ул Пушкина, д. 47=120415.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-18, -404, -308, -4]=[-15367.0, -13022.0, -3050.0, -3765.0, -14814.0]
"Акционерное общество ""Амбер-стройсервис"""=614022, Пермский край, Пермь г, Мира ул, дом 45, корпус а, офис 411=67038.0=[11759.0, 17321.0, 18379.0, -6543.0, 6495.0]=[-93, -97, 103, -37]=[346.0, 4885.0, 10564.0, -13291.0, 545.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС"""=368780, Дагестан Респ, р-н Магарамкентский, с Магарамкент, ул Гагарина, 3=29865.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-28, 161, 132, 110100]=[1102.0, 1539.0, 422.0, -3396.0, 1.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ"""=127566, Москва г, ш Алтуфьевское, 48, 1, Эт 9 Пом I оф 901=1129443.0=[61494.0, 'nan', 45124.0, 'nan', 'nan']=[-41, 17, 8114, -85]=[28092.0, 47631.0, 23975.0, 342.0, 193325.0]
"Акционерное общество ""АРСИ"""=368730, Дагестан Респ, Ахтынский р-н, Ахты с, А.Аливердиева ул, дом № 6=546027.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-73, -5, -95, -72]=[228.0, 833.0, 240.0, 4756.0, 806.0]
"Акционерное общество ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ"""=163000, Архангельская обл, Архангельск г, Попова ул, дом 17=750704.0=[-30684.0, 101112.0, -159771.0, 102407.0, 'nan']=[-2153, 82, -1568, -576]=[-46946.0, 2287.0, -258499.0, 3199.0, 9858.0]
"Акционерное общество ""БАВАРСКИЙ ДОМ"""=129075, Москва г, Аргуновская ул, дом 2, корпус 1, офис 1500=1152402.0=[412231.0, 192882.0, 208802.0, 544281.0, 78839.0]=[-95, -95, -76, -92]=[1069.0, 20757.0, 20134.0, 4376.0, 13740.0]
"Акционерное общество ""БАЙКАЛСТРОЙГРАД"""=664050, Иркутская обл, Иркутск г, Дыбовского ул, дом № 8/10=354342.0=[38946.0, 60469.0, 40064.0, 34327.0, 'nan']=[-100, -108, -107, -117]=[-104.0, 28887.0, 1372.0, 1539.0, 611.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ"""=199178, Санкт-Петербург г, пр-кт Малый В.О., 48, Корпус 2 Литер А, Помещение 12-Н=316038.0=[52434.0, 'nan', 'nan', 38727.0, 43865.0]=[749, 1124, 311, 309]=[37644.0, -5800.0, 3076.0, 9157.0, -18054.0]
"Акционерное общество ""Беломорская передвижная механизированная колонна"""=Респ. Карелия, г. Беломорск, ул. Портовое шоссе, д. 25, 186500=95063.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-484, -106, -122, -104]=[-419.0, 109.0, 7354.0, 1888.0, 9446.0]
"АО ""БСТ"""=633010, Новосибирская обл, г.Бердск, ул.Ленина, д.69=3135029.0=[219809.0, 45412.0, 100394.0, 'nan', 117359.0]=[2284, 255, 290, 79]=[183205.0, 7685.0, 51586.0, 46963.0, 102387.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ"" (АО ""БИЛДИНГ"")"=350020, Краснодарский край, г Краснодар, ул Красная, 176, А, 10=211510.0=[109701.0, 109455.0, 121834.0, 'nan', 152512.0]=[0, -849, -379, -239]=[-81156.0, -81510.0, 10834.0, 29055.0, 58490.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ"""=643,241050,32,,Брянск г,,Калинина ул,81,,=6556.0=['nan', 'nan', 'nan', 'nan', 'nan']=[100, 96, 100, -104]=[-38.0, -40750.0, -950.0, -19321.0, 1078.0]
"Акционерное общество"" Буденновское монтажное управление"""=356800, Ставропольский край, Буденновский район, Буденновск г., Розы Люксембург, д. 31=23199.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-84, 211, 102, 101]=[167.0, 1068.0, -151.0, -9727.0, -23076.0]
"Акционерное общество ""Вест Констракшн"""=125009, Москва г, Брюсов пер, дом № 2/14, строение 5=428084.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-86, -91, -91, -54]=[15731.0, 116073.0, 169397.0, 178954.0, 34127.0]
"Акционерное общество ""Виско"""=197374, Санкт-Петербург г, ул Оптиков, 4а, 508, Помещение 6н №287=15682.0=['nan', 'nan', 'nan', 'nan', 'nan']=['nan', 86, 'nan', 'nan']=[-143436.0, 'nan', -1004734.0]
"Акционерное общество ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ"""=115533, Город Москва, ВЫСОКАЯ ул., д. 3, помещ. 4П=69256.0=[2588.0, 5520.0, 'nan', 'nan', 'nan']=[-636, 'nan', 'nan', 'nan']=[-6528.0, 1219.0]
"Акционерное общество  ""Владимир-Союзпроммонтаж"""=600005, Владимирская область, г.о. город Владимир, г Владимир, ул Почаевский Овраг, д. 1, стр. 1, офис 1=593130.0=[56534.0, 39160.0, 'nan', 'nan', 'nan']=[62, 615, 496, 128]=[25011.0, 15432.0, 3496.0, 4197.0, 10967.0]
"Акционерное общество ""ВОЛС-СЕРВИС"""=127566, Москва г, Высоковольтный проезд, дом 9, офис ЭТ 2 КОМ 32, 34, 35, 39, 41, 42=1180035.0=['nan', 'nan', 'nan', 'nan', 'nan']=[644, 468, 37221, 630]=[57848.0, 7773.0, 10186.0, 155.0, 7923.0]
"Акционерное Общество ""Воронежстрой"""=643,394055,36,,Воронеж,,Моисеева,37,,оф.2=232773.0=[16941.0, 'nan', 'nan', 'nan', 8487.0]=[-42, 542, 203, 79]=[10109.0, 17573.0, 1574.0, 3335.0, 5647.0]
"Акционерное общество ""Восточная Сибирь"""=660111, Красноярский край, Красноярск г, Башиловская ул, дом № 5=82129.0=[27224.0, 'nan', 22174.0, 22421.0, 'nan']=[-8, 58, 81, 867]=[4837.0, 5275.0, 3068.0, 2669.0, 500.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО  ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ"""=614000, Пермский край, г Пермь, ул Пермская, 126, А=112635.0=['nan', 7436.0, 'nan', 10246.0, 'nan']=[-84, -97, -99, -98]=[57.0, 350.0, 1810.0, 4878.0, 3511.0]
"Акционерное общество ""Генподрядчик"""=г. Владивосток, ул. Русская, д. 93, 690105=132133.0=['nan', 1405.0, 'nan', 429.0, 'nan']=[-772, -1777, -38462, -153550]=[-3069.0, 457.0, 183.0, 8.0, 2.0]
"Акционерное общество ""ГЛАВЗАРУБЕЖСТРОЙ"""=119021, Город Москва, ул Тимура Фрунзе, д. 16, стр. 3==['nan', 'nan', 'nan', 244480.0, -99342.0]=['nan', -75, -3956, 20]=[-201552.0, 'nan', -115065.0, 5227.0, -250506.0]
"Акционерное общество  ""ГЛАВУКС"""=127083, Москва г, Петровско-Разумовская аллея, дом № 10, корпус 2=59414.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-69, -95, -86, -97]=[757.0, 2443.0, 16630.0, 5426.0, 24833.0]
"Акционерное общество ""ГРАЖДАНСТРОЙ"""=214019, Смоленская обл, Смоленск г, Трамвайный проезд, дом 14, офис 105=23332.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-23, -81, -89, -96]=[832.0, 1077.0, 4423.0, 7715.0, 20029.0]
"Акционерное общество ""Грани Города"""=107031, Москва г, пл Трубная, 2, 14/1п=3724263.0=[280119.0, 'nan', 'nan', 'nan', 'nan']=[-41, 'nan', 'nan', 'nan']=[50400.0, 84877.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАГЕСТАНСТРОЙ"""=367013, Дагестан Респ, г Махачкала, пр-кт Гамидова, 27=420870.0=['nan', 'nan', 'nan', 'nan', 'nan']=[75, 55, 30, -75]=[1306.0, 746.0, 841.0, 1005.0, 5187.0]
"Акционерное общество ""ДАЛЕР СТРОЙ"""=125502, Г.Москва, Фестивальная ул, д. № 53А, стр. 3, кв. 1/6/7Д=193778.0=['nan', 'nan', 'nan', 'nan', 'nan']=[117, 'nan', 'nan', 'nan']=[13.0, 6.0]
"Акционерное общество ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ"""=692940, Приморский край, Находка г, Крайнева ул, дом № 8=55704.0=['nan', 'nan', 'nan', 'nan', 'nan']=[36, -158, -147, -132]=[-13662.0, -21347.0, 23633.0, 29011.0, 43154.0]
